Quantity,UnitPrice,Country
39,52.36,Australia
29,70.6,Australia
15,37.0,Germany
43,97.21,France
8,96.28,Germany
21,25.93,USA
39,50.23,USA
19,30.79,France
23,29.2,Germany
11,4.65,India
11,61.35,Australia
24,50.77,Australia
36,6.1,France
40,28.59,USA
24,90.92,USA
3,24.72,Australia
22,15.34,France
2,49.46,Germany
24,98.58,USA
44,24.96,Germany
30,67.54,USA
38,76.4,USA
2,24.53,UK
21,73.09,USA
33,37.41,India
12,63.6,France
22,63.72,France
44,54.04,Germany
25,9.94,USA
49,83.69,India
27,32.76,Germany
42,19.47,UK
28,5.04,Germany
16,59.5,Germany
15,68.08,USA
47,2.64,UK
44,51.7,Germany
3,23.42,India
37,64.87,India
7,18.26,France
21,69.4,UK
9,39.29,UK
39,93.74,France
18,14.61,Germany
4,34.77,UK
25,12.23,India
14,92.54,India
9,87.86,USA
26,26.54,UK
2,66.34,Germany
20,81.9,France
28,55.96,France
47,53.44,Germany
7,24.94,Australia
44,10.22,USA
8,89.82,France
47,90.14,UK
35,63.68,USA
14,34.56,UK
17,35.57,India
36,72.87,USA
40,89.81,France
4,88.82,USA
2,78.21,USA
6,64.56,USA
42,9.33,Australia
4,17.0,USA
29,89.96,UK
18,61.04,India
26,1.91,Germany
44,11.05,USA
34,66.69,France
10,1.5,USA
36,16.92,France
14,55.32,UK
31,69.5,France
48,65.54,Germany
15,23.2,India
8,71.51,France
14,24.49,France
23,33.21,India
40,74.9,Germany
21,65.31,USA
16,85.07,France
45,66.1,India
18,57.26,UK
47,10.27,India
24,37.4,UK
26,27.26,Germany
25,25.15,USA
45,97.33,India
41,39.92,Australia
29,89.31,France
15,63.48,Germany
45,79.69,India
1,50.76,France
25,58.11,India
7,49.76,UK
9,20.33,India
24,72.52,Australia
1,28.8,India
44,3.41,India
8,64.9,Australia
24,18.53,Germany
11,94.11,India
17,95.44,Australia
8,91.57,France
35,37.65,UK
35,2.53,UK
33,92.9,India
5,43.39,Germany
42,96.7,Germany
39,96.4,France
41,85.45,India
28,30.15,UK
7,39.12,Germany
9,85.26,India
8,32.38,Germany
12,17.78,Australia
34,56.12,Germany
33,93.68,UK
48,69.91,USA
23,57.44,France
24,10.62,France
37,61.89,UK
35,99.02,Germany
44,14.87,India
40,52.31,Germany
22,87.86,UK
27,74.34,France
35,70.0,Germany
1,70.55,France
35,36.59,India
37,30.07,France
47,81.13,France
14,81.2,USA
3,86.84,USA
1,91.41,Australia
5,51.62,USA
26,50.65,France
14,80.03,UK
39,65.35,France
27,70.49,UK
9,79.78,UK
15,89.11,USA
15,34.46,Germany
26,38.18,India
42,10.3,USA
13,58.25,USA
32,4.56,Germany
39,47.09,India
49,54.72,France
32,29.37,Australia
4,59.49,Australia
30,4.02,France
37,4.7,USA
23,82.44,India
39,36.66,USA
45,13.58,UK
15,52.7,USA
43,77.23,USA
29,22.37,France
36,62.67,France
13,9.45,France
32,6.12,Australia
7,53.6,UK
22,54.52,France
28,64.11,India
2,72.88,Australia
42,97.61,Germany
45,52.11,India
6,32.97,India
28,79.72,France
28,27.81,Germany
44,44.46,Germany
44,8.77,Australia
20,3.51,Germany
30,96.3,UK
11,83.76,France
28,69.9,Germany
25,41.49,Australia
39,18.16,UK
33,16.49,USA
1,25.77,USA
27,55.37,UK
13,71.74,Australia
41,66.36,UK
3,28.71,France
39,95.53,France
6,74.05,USA
8,55.88,Germany
27,61.56,Australia
9,42.54,USA
37,25.53,Germany
33,36.24,Germany
42,76.03,France
44,2.42,India
24,12.49,India
15,5.55,UK
32,5.03,France
